,sold_date,sold_price,bed_room,bath_room,property_sqft,property_alot,address
126,"Sold - Oct 20, 2023","$265,000",4bed,2.5bath,"2,600sqft2,600 square feet",0.52acre lot0.52 acre lot,"2821 Lee Willa DrJackson, MI 49203"
127,"Sold - Nov 20, 2023","$105,000$5k",3bed,1.5bath,"1,144sqft1,144 square feet","4,356sqft lot4,356 square foot lot","214 S Dwight StJackson, MI 49203"
128,"Sold - Aug 18, 2023","$265,000$34.08k",11bed,6.5+bath,"6,545sqft6,545 square feet",0.4acre lot0.4 acre lot,"1013 Carlton BlvdJackson, MI 49203"
129,"Sold - Aug 24, 2023","$322,500$25k",3bed,2.5bath,"2,821sqft2,821 square feet",0.51acre lot0.51 acre lot,"3825 E Walmont RdJackson, MI 49203"
130,"Sold - Sep 14, 2023","$266,100",4bed,2bath,"2,288sqft2,288 square feet",0.44acre lot0.44 acre lot,"2876 N Oak Creek DrJackson, MI 49201"
131,"Sold - Sep 29, 2023","$169,000",2bed,2bath,"1,120sqft1,120 square feet",,"928 Oak Brook DrJackson, MI 49203"
132,"Sold - Jun 28, 2023","$425,000",5bed,3.5bath,"3,391sqft3,391 square feet",0.59acre lot0.59 acre lot,"609 S Durand StJackson, MI 49203"
133,"Sold - Aug 21, 2023","$131,000$10k",2bed,2bath,816sqft816 square feet,"8,712sqft lot8,712 square foot lot","256 Curtis AveJackson, MI 49203"
134,"Sold - Sep 20, 2023","$225,000",3bed,1.5bath,"1,356sqft1,356 square feet",1.48acre lot1.48 acre lot,"2531 E South StJackson, MI 49201"
135,"Sold - Oct 31, 2023","$54,000",2bed,1bath,832sqft832 square feet,0.35acre lot0.35 acre lot,"814 Burr StJackson, MI 49201"
136,"Sold - Jun 30, 2023","$130,000",,,,"8,276sqft lot8,276 square foot lot","723 Tomlinson StJackson, MI 49203"
137,"Sold - Nov 28, 2023","$50,000$10k",4bed,1bath,"2,534sqft2,534 square feet",0.8acre lot0.8 acre lot,"205 S Dettman RdJackson, MI 49203"
138,"Sold - Nov 16, 2023","$135,000",3bed,1bath,"1,092sqft1,092 square feet","9,148sqft lot9,148 square foot lot","728 Whitney StJackson, MI 49202"
139,"Sold - Oct 27, 2023","$2,000",,,,"5,227sqft lot5,227 square foot lot","Addison St Lot 49Jackson, MI 49203"
140,"Sold - Sep 8, 2023","$119,900",2bed,1bath,840sqft840 square feet,"2,178sqft lot2,178 square foot lot","619 Backus StJackson, MI 49202"
141,"Sold - Oct 6, 2023","$74,900$10k",3bed,1.5bath,"1,634sqft1,634 square feet","6,534sqft lot6,534 square foot lot","2102 E Ganson StJackson, MI 49202"
142,"Sold - Dec 8, 2023","$310,000$15k",2bed,2bath,"1,841sqft1,841 square feet",1acre lot1 acre lot,"109 W Washington Ave Apt 15Jackson, MI 49201"
143,"Sold - Aug 1, 2023","$165,100",2bed,2bath,"1,258sqft1,258 square feet",715sqft lot715 square foot lot,"848 W Barrington CirJackson, MI 49203"
144,"Sold - Jul 5, 2023","$267,000",4bed,1.5+bath,"2,234sqft2,234 square feet",1.9acre lot1.9 acre lot,"4680 Reynolds RdJackson, MI 49201"
145,"Sold - Sep 20, 2023","$125,000$10k",2bed,1bath,851sqft851 square feet,"7,841sqft lot7,841 square foot lot","738 Fairyland AveJackson, MI 49202"
146,"Sold - Jul 31, 2023","$32,100",1bed,1bath,512sqft512 square feet,1acre lot1 acre lot,"1117 Woodworth RdJackson, MI 49202"
147,"Sold - Nov 1, 2023","$205,000",3bed,1bath,925sqft925 square feet,0.33acre lot0.33 acre lot,"5628 Holly DrJackson, MI 49201"
148,"Sold - Aug 3, 2023","$15,000",,,,0.79acre lot0.79 acre lot,"14 Twin Meadow DrJackson, MI 49201"
149,"Sold - Nov 29, 2023","$41,900$6.1k",3bed,1bath,"1,168sqft1,168 square feet","4,356sqft lot4,356 square foot lot","734 Irving StJackson, MI 49202"
150,"Sold - Nov 2, 2023","$295,000",3bed,1.5bath,"2,200sqft2,200 square feet",0.29acre lot0.29 acre lot,"2326 Smalley StJackson, MI 49203"
